isin,Basic Materials,Consumer Discretionary,Consumer Staples,Corporate,Covered,Energy,Financials,Government,Health Care,Industrials,Real Estate,Securitised,Technology,Telecommunication,Utilities,Liquidity,Supranational,Other
DE000ETFL326,3.77,14.04,16.74,,,3.68,22.16,,5.13,4.38,,,27.64,0.27,1.26,,,0.93
DE000ETFL342,4.89,5.36,6.02,,,,28.42,,2.58,4.52,,,42.23,3.98,1.55,,,0.47
DE000ETFL359,,,,,,,99.83,,,,,,,,,,,0.17
DE000ETFL375,1.7,9.31,8.34,,,3.6,52.92,,8.31,4.76,,,1.99,4.67,4.17,,,0.23
DE000ETFL383,4.21,11.25,15.67,,,6.99,3.5,,8.53,9.99,,,2.03,15.82,21.28,,,0.73
DE000ETFL433,8.32,9.11,0.67,,,,,,9.86,38.09,,,18.02,8.66,7.21,,,0.06
DE000ETFL441,11.59,23.27,,,,,12.92,,3.51,35.47,,,10.22,3.03,,,,
DE000ETFL466,1.13,11.93,8.55,,,,41.09,,4.87,12.09,,,16.57,2.95,0.64,,,0.19
DE000ETFL474,,4.59,1.81,,,,55.32,,2.92,12.45,,,21.35,1.42,,,,0.15
DE000ETFL482,6.95,13.92,8.69,,,12.46,,,5.58,25.42,,,1.92,7.47,16.91,,,0.68
DE000ETFL490,,,,,,,,99.42,,,,,,,,,,0.58
DE000ETFL508,3.78,5.66,8.65,,,3.37,18.53,,9.05,11.05,,,34.94,1.32,2.5,,,1.15
DE000ETFL524,,,,,,,,100.0,,,,,,,,,,
DE000ETFL532,3.36,8.59,9.07,,,7.75,32.55,,4.42,14.26,,,2.1,7.93,10.08,,,
DE000ETFL540,3.73,14.26,1.42,,,,29.73,,9.12,20.57,,,14.39,6.57,,,,0.21
DE000ETFL557,3.61,8.69,7.51,,,,26.16,,5.08,19.16,,,14.64,2.45,12.16,,,0.54
DE000ETFL565,3.99,6.89,6.94,,,,25.85,,18.78,17.33,,,10.29,2.08,7.46,,,0.41
DE000ETFL573,0.07,8.32,7.4,,,,18.79,,11.64,2.22,,,50.38,1.06,0.08,,,0.04
DE000ETFL581,1.38,8.12,6.91,,,,21.29,,11.32,6.18,,,41.7,1.57,1.42,,,0.13
DE000ETFL599,2.78,8.82,3.78,,,,36.41,,8.3,11.45,,,4.7,10.65,12.99,,,0.13
DE000ETFL607,8.7,3.61,0.69,,,,1.32,,,43.29,,,22.92,,19.44,,,0.03
DE000ETFL615,3.53,,,,,,72.7,,,1.94,,,,4.94,16.51,,,0.38
DE000ETFL623,1.08,5.69,12.03,,,0.53,0.92,,3.81,3.95,,,67.89,1.25,1.2,,,1.65
DE000ETFL631,2.21,5.32,8.96,,,2.3,14.05,,9.01,8.97,,,44.88,0.85,2.18,,,1.38
DE000ETFL649,7.37,22.35,5.85,,,6.31,28.41,,6.59,11.19,,,1.34,3.17,4.26,,,3.16
DE000ETFL656,22.1,0.1,11.07,,,,,,0.83,40.49,,,1.79,,23.3,,,0.32
DE000ETFL664,0.46,,,,,,,,,94.85,,,3.75,0.63,,,,0.31
DE000EWG0LD1,,,,,,,,,,,,,,,,,,
DE000EWG2LD7,,,,,,,,,,,,,,,,,,
DE000EWG4CR2,,,,,,,,,,,,,,,,,,
DE000EWG4TR6,,,,,,,,,,,,,,,,,,
DE000NXTA018,,,,,,,,,,,,,,,,,,
DE000NXTA026,,,,,,,,,,,,,,,,,,
DE000NXTA034,,,,,,,,,,,,,,,,,,
DE000NXTA042,,,,,,,,,,,,,,,,,,
DE000PB6GAS5,,,,,,,,,,,,,,,,,,
DE000PB6R1B1,,,,,,,,,,,,,,,,,,
DE000PB6R1G0,,,,,,,,,,,,,,,,,,
DE000PB6R1W7,,,,,,,,,,,,,,,,,,
DE000PB8C0P8,,,,,,,,,,,,,,,,,,
DE000PB8R1C7,,,,,,,,,,,,,,,,,,
DE000PB8R1M6,,,,,,,,,,,,,,,,,,
DE000PR5RBU0,,,,,,,,,,,,,,,,,,
DE000PR5RCU8,,,,,,,,,,,,,,,,,,
DE000PR5RGU9,,,,,,,,,,,,,,,,,,
DE000PR5RMU7,,,,,,,,,,,,,,,,,,
DE000PR5RWU6,,,,,,,,,,,,,,,,,,
DE000PS701L2,,,,,,,,,,,,,,,,,,
DE000PS7G0L8,,,,,,,,,,,,,,,,,,
DE000PS7WT17,,,,,,,,,,,,,,,,,,
DE000PZ9REB6,,,,,,,,,,,,,,,,,,
DE000PZ9REC4,,,,,,,,,,,,,,,,,,
DE000PZ9REG5,,,,,,,,,,,,,,,,,,
DE000PZ9REM3,,,,,,,,,,,,,,,,,,
DE000PZ9REW2,,,,,,,,,,,,,,,,,,
DE000TMG0LD6,,,,,,,,,,,,,,,,,,
FR0007052782,7.446,11.6495,8.5767,,,8.8297,14.8674,,7.8783,30.8328,,,3.1233,,3.4458,,,3.3505
FR0007054358,3.5155,9.0313,5.2144,,,5.1659,28.9351,,5.2966,21.1853,,,15.031,,4.4318,,,2.1931
FR0007056841,3.6383,9.6867,3.8128,,,2.4261,27.6812,,13.6043,15.7871,,,18.4296,4.934,,,,
FR0007075494,0.6212,11.6256,4.4109,,,3.9099,8.5574,,11.1232,2.0592,,,45.6363,12.0563,,,,
FR0010010827,,9.4091,0.4588,,,7.8238,52.6652,,1.1653,8.2875,,,3.8593,1.9918,13.9099,,,0.4292
FR0010150458,7.0838,13.6385,9.3004,,,,14.8617,,8.9657,33.0364,1.092,,4.3716,3.6155,4.0476,-0.0132,,
FR0010245514,5.3289,14.1198,4.7573,,,,18.754,,4.9779,26.106,1.6472,,15.0939,6.8609,,,,2.3541
FR0010251744,1.45,10.43,0.29,,,3.3,43.49,,0.59,16.82,,,0.94,3.8,18.89,,,
FR0010261198,5.6133,6.1145,8.2535,,,5.3233,25.9603,,12.4739,18.4992,,,9.2762,,4.7279,,,3.758
FR0010315770,3.4141,8.5412,4.8361,,,4.21,16.456,,9.0869,11.0252,,,30.3498,8.0667,,,,4.0139
FR0010342592,0.9516,10.7107,6.1155,,,0.5299,,,3.8358,3.4018,,,59.2605,13.8168,1.1744,,,0.203
FR0010361683,8.8049,12.8704,5.0951,,,7.8493,30.0774,,6.9804,11.1055,,,6.7495,5.0541,,,,5.4136
FR0010375766,8.8049,12.8704,5.0951,,,7.8493,30.0774,,6.9804,11.1055,,,6.7495,5.0541,,,,5.4136
